"Season","Team","Conference","Offense Plays","Offense Drives","Offense Ppa","Offense TotalPPA","Offense SuccessRate","Offense Explosiveness","Offense PowerSuccess","Offense StuffRate","Offense LineYards","Offense LineYardsTotal","Offense SecondLevelYards","Offense SecondLevelYardsTotal","Offense OpenFieldYards","Offense OpenFieldYardsTotal","Offense TotalOpportunies","Offense PointsPerOpportunity","Offense FieldPosition AverageStart","Offense FieldPosition AveragePredictedPoints","Offense Havoc Total","Offense Havoc FrontSeven","Offense Havoc Db","Offense StandardDowns Rate","Offense StandardDowns Ppa","Offense StandardDowns SuccessRate","Offense StandardDowns Explosiveness","Offense PassingDowns Rate","Offense PassingDowns Ppa","Offense PassingDowns SuccessRate","Offense PassingDowns Explosiveness","Offense RushingPlays Rate","Offense RushingPlays Ppa","Offense RushingPlays TotalPPA","Offense RushingPlays SuccessRate","Offense RushingPlays Explosiveness","Offense PassingPlays Rate","Offense PassingPlays Ppa","Offense PassingPlays TotalPPA","Offense PassingPlays SuccessRate","Offense PassingPlays Explosiveness","Defense Plays","Defense Drives","Defense Ppa","Defense TotalPPA","Defense SuccessRate","Defense Explosiveness","Defense PowerSuccess","Defense StuffRate","Defense LineYards","Defense LineYardsTotal","Defense SecondLevelYards","Defense SecondLevelYardsTotal","Defense OpenFieldYards","Defense OpenFieldYardsTotal","Defense TotalOpportunies","Defense PointsPerOpportunity","Defense FieldPosition AverageStart","Defense FieldPosition AveragePredictedPoints","Defense Havoc Total","Defense Havoc FrontSeven","Defense Havoc Db","Defense StandardDowns Rate","Defense StandardDowns Ppa","Defense StandardDowns SuccessRate","Defense StandardDowns Explosiveness","Defense PassingDowns Rate","Defense PassingDowns Ppa","Defense PassingDowns TotalPPA","Defense PassingDowns SuccessRate","Defense PassingDowns Explosiveness","Defense RushingPlays Rate","Defense RushingPlays Ppa","Defense RushingPlays TotalPPA","Defense RushingPlays SuccessRate","Defense RushingPlays Explosiveness","Defense PassingPlays Rate","Defense PassingPlays Ppa","Defense PassingPlays TotalPPA","Defense PassingPlays SuccessRate","Defense PassingPlays Explosiveness"
"2003","Air Force","Mountain West","68","15","-0.005344723244202291","-0.3634411806057558","0.38235294117647056","0.7715506053418066","0.8","0.11764705882352941","3.192156862745098","163","0.6862745098039216","35","0.13725490196078433","7","11","-0.6363636363636364","68.8","1.379","","","","0.7352941176470589","-0.04360967051556485","0.42","0.6321630022106516","0.2647058823529412","0.10094679695402704","0.2777777777777778","1.3569785384926583","0.75","-0.023741452215302335","-1.2108140629804192","0.4117647058823529","0.5131564560552936","0.19117647058823528","0.17327205700544496","2.2525367410707844","0.38461538461538464","1.8568060323451618","77","15","-0.0385477164442978","-2.9681741662109307","0.37662337662337664","1.2050970333896327","1","0.13157894736842105","3.539473684210526","135","1.4736842105263157","56","1.4736842105263157","56","10","0","74.4","-1.067","","","","0.6623376623376623","0.06969818826583457","0.43137254901960786","1.0788765703718066","0.33766233766233766","-0.2508762218372498","-4.534936508505149","0.2692307692307692","1.601789917159943","0.4935064935064935","0.09314930517444824","3.5396735966290325","0.39473684210526316","0.9510774373133024","0.4805194805194805","-0.12256585158122024","-4.534936508505149","0.3783783783783784","1.4772608863285581"
"2003","Akron","Mid-American","82","14","0.01712199181311818","1.4040033286756908","0.34146341463414637","1.248382356567174","0.6666666666666666","0.3888888888888889","1.475","53","0.8333333333333334","30","1.6944444444444444","61","15","0","71.8","1.292","","","","0.5853658536585366","-0.04275257632416311","0.3958333333333333","0.978590091736093","0.4146341463414634","0.10165079388928","0.2647058823529412","1.8179438045439","0.43902439024390244","-0.2603963809670943","-9.374269714815394","0.25","1.1653606334511284","0.5365853658536586","0.2767910960847188","12.178808227727627","0.4318181818181818","1.2877084359379323","63","13","0.22231047690688505","14.005560045133759","0.38095238095238093","1.4728218935860076","1","0.28205128205128205","2.8512820512820514","111","1.3846153846153846","54","2.282051282051282","89","13","0","70.3","-1.518","","","","0.6349206349206349","0.09093398517809011","0.4","1.1803247247113131","0.36507936507936506","0.450791332087398","12.94501855973933","0.34782608695652173","2.057816231335396","0.6190476190476191","0.05359073542690747","2.0900386816493914","0.358974358974359","1.114609715788856","0.3492063492063492","0.5884099345336059","12.94501855973933","0.45454545454545453","1.9743189425020198"
"2003","Alabama","SEC","752","143","-0.05606264989339728","-42.15911271983476","0.3324468085106383","1.071989215393584","0.5434782608695652","0.23134328358208955","2.7781094527363184","1117","1.0422885572139302","419","0.7412935323383084","298","97","-0.14432989690721648","69.2","1.483","","","","0.6595744680851063","-0.15503578391636183","0.3689516129032258","0.7929766124687698","0.3404255319148936","0.13569779727609652","0.26171875","1.8340684144270316","0.5345744680851063","-0.0319250934445811","-12.833887564721602","0.3805970149253731","0.7728023427207004","0.42154255319148937","-0.015057847218653265","-4.773337568313085","0.305993690851735","1.5439025300219469","749","154","-0.05919620778429974","-44.3379596304405","0.34579439252336447","1.0110283879858928","0.7058823529411765","0.23410404624277456","2.6985549132947977","934","0.8959537572254336","310","0.630057803468208","218","118","0","67.8","-1.598","","","","0.6408544726301736","-0.08850249490012439","0.41458333333333336","0.7747416276798551","0.3591455273698264","-0.006902461257921176","29.59665033003126","0.22304832713754646","1.7947128096675848","0.46194926568758343","-0.09069970046761978","-31.382096361796446","0.34971098265895956","0.6873622583336662","0.49265687583444595","0.08020772447162942","29.59665033003126","0.37398373983739835","1.2948226031157437"
"2003","Arizona","Big 12","791","185","-0.15727592220623143","-124.40525446512906","0.26548672566371684","1.0603294389481541","0.4","0.372972972972973","1.944054054054054","719","0.7837837837837838","290","1.127027027027027","417","122","0","73.1","1.198","","","","0.6106194690265486","-0.18513318320586725","0.3188405797101449","0.8572670494097219","0.3893805309734513","-0.11359067200225706","0.18181818181818182","1.6187510101788432","0.46776232616940583","-0.15781473965764828","-58.39145367332986","0.2648648648648649","0.954819951247327","0.4892541087231353","-0.09680242861077769","-37.46253987237097","0.28940568475452194","1.152650240686378","932","176","0.038547943868273774","35.92668368523116","0.41738197424892703","0.8787088004107001","0.7313432835820896","0.19922630560928434","2.820502901353965","1458","0.8336557059961315","431","0.41779497098646035","216","121","-0.11570247933884298","67.5","-1.614","","","","0.7124463519313304","-0.001539199111201919","0.47740963855421686","0.6998921943202446","0.2875536480686695","0.13786832796667625","85.99127669904442","0.26865671641791045","1.6659985800034","0.5547210300429185","-0.053462794446153","-27.6402647286611","0.42166344294003866","0.5698962403347753","0.40665236051502146","0.22688991213468185","85.99127669904442","0.45118733509234826","1.2723996664724055"
"2003","Arizona State","Big 12","858","176","-0.03375657142514434","-28.963138282773848","0.358974358974359","1.0254632240027837","0.5686274509803921","0.21487603305785125","2.8358126721763086","1029","0.9393939393939394","341","0.5371900826446281","195","137","-0.10218978102189781","68.2","1.524","","","","0.6526806526806527","-0.10557729570803391","0.4160714285714286","0.7812500903723709","0.3473193473193473","0.1012085480326347","0.2516778523489933","1.7841520258145993","0.4230769230769231","-0.07355554985201834","-26.70066459628266","0.38292011019283745","0.6803165288450805","0.5431235431235432","0.04653493928088972","21.68528170489461","0.3626609442060086","1.309341275049652","875","175","-0.026957023956353392","-23.587395961809218","0.3497142857142857","1.0347772373648099","0.6875","0.2482758620689655","2.6370114942528735","1147","0.903448275862069","393","0.8620689655172413","375","127","-0.11023622047244094","70.6","-1.398","","","","0.6445714285714286","-0.10449144391278836","0.40070921985815605","0.7795942187467448","0.3554285714285714","0.1136520205948663","18.952057572350736","0.2572347266881029","1.7556692649608439","0.49714285714285716","-0.040097862324501465","-17.442570111158137","0.36091954022988504","0.7405971294270903","0.4594285714285714","0.047144421821768","18.952057572350736","0.3706467661691542","1.3447522504267024"
"2003","Arkansas","SEC","844","164","0.03367325995161136","28.420231399159988","0.37796208530805686","1.0651370390022825","0.5892857142857143","0.2179732313575526","2.796558317399618","1463","1.0975143403441683","574","1.1223709369024857","587","133","0","68.6","1.524","","","","0.6907582938388626","-0.07317424871658892","0.40823327615780447","0.8085757316000238","0.30924170616113744","0.2723403003867101","0.3103448275862069","1.8189838434681784","0.6196682464454977","0.01661825753657538","8.691348691628923","0.39961759082217974","0.8345399461142325","0.32582938388625593","0.19818852818559868","54.50184525103964","0.4","1.5032715154895775","834","161","-0.029620312404333177","-24.70334054521387","0.3657074340527578","0.9549560268202226","0.6842105263157895","0.24379232505643342","2.7279909706546275","1209","1.0338600451467268","458","0.7426636568848759","329","119","-0.11764705882352941","69.7","-1.413","","","","0.6462829736211031","-0.10266112082302663","0.43042671614100186","0.7439077325215555","0.3537170263788969","0.1038339104352457","10.865932267170582","0.24745762711864408","1.6256848525365344","0.5311750599520384","-0.01226572359066491","-5.433715550664555","0.3837471783295711","0.7712891505566566","0.43764988009592326","0.029769677444302964","10.865932267170582","0.3698630136986301","1.186240241374343"
"2003","Arkansas State","Sun Belt","109","20","-0.03982055711579375","-4.3404407256215185","0.3211009174311927","1.0836810328972646","0.2","0.3125","1.6895833333333332","81","0.8541666666666666","41","0.625","30","22","-0.3181818181818182","72.9","1.261","","","","0.5412844036697247","-0.25096314260250846","0.3220338983050847","0.8204826850435315","0.45871559633027525","0.20932769375852958","0.32","1.3962290709735725","0.44036697247706424","-0.07317450268989083","-3.5123761291147595","0.2708333333333333","1.0743034962457174","0.5229357798165137","0.011905566434063328","0.6786172867416097","0.38596491228070173","1.089222304554997","126","26","0.01753269174783326","2.2091191602269906","0.46825396825396826","0.8721696846884002","0.8","0.25757575757575757","1.5863636363636364","105","0.9848484848484849","65","0.4696969696969697","31","19","0","54.5","-2.545","","","","0.7142857142857143","0.11576946232762862","0.5666666666666667","0.6825924110612407","0.2857142857142857","-0.22805923470165512","14.705818911344235","0.2222222222222222","2.0807248040615414","0.5238095238095238","-0.1635540907333138","-10.794569988398711","0.48484848484848486","0.5772868615426074","0.4523809523809524","0.2579968230060392","14.705818911344235","0.47368421052631576","1.2216604380463767"
"2003","Army","American Athletic","152","32","-0.24517100920380275","-37.26599339897802","0.2236842105263158","1.2068911864007614","0.125","0.43636363636363634","0.5018181818181818","28","0.6363636363636364","35","0.6545454545454545","36","22","0","71.2","1.32","","","","0.5460526315789473","-0.3996419861757295","0.25301204819277107","0.971347753300278","0.45394736842105265","-0.059358094875253224","0.18840579710144928","1.5873844244861577","0.3618421052631579","-0.49522185676777847","-27.237202122227817","0.21818181818181817","0.9157565305888962","0.5723684210526315","-0.05357674328688149","-4.661176665958689","0.25287356321839083","1.365691907752688","138","29","0.019618930116067447","2.707412356017308","0.3695652173913043","1.0758725958572988","1","0.2692307692307692","2.424358974358974","189","0.7435897435897436","58","0.9487179487179487","74","20","-0.35","58.2","-2.28","","","","0.6014492753623188","-0.013685166778904495","0.4457831325301205","0.8272402285392224","0.39855072463768115","0.06987783997575238","11.137509679773384","0.2545454545454545","1.732972423769358","0.5652173913043478","-0.09472759514490187","-7.388752421302346","0.3333333333333333","0.7409925909300131","0.42028985507246375","0.19202602896161006","11.137509679773384","0.43103448275862066","1.424147800981676"
"2003","Auburn","SEC","848","160","0.02578552430343238","21.86612460931066","0.39858490566037735","0.9606585035585645","0.6507936507936508","0.23819301848049282","2.7275154004106774","1328","1.0780287474332648","525","0.8439425051334702","411","117","0","67.3","1.611","","","","0.6780660377358491","-0.010437032191645126","0.4834782608695652","0.7713222368305297","0.32193396226415094","0.10207845465020735","0.21978021978021978","1.8379165393984596","0.5742924528301887","-0.0005962145060922787","-0.29035646446693975","0.42299794661190965","0.7403690131923564","0.3903301886792453","0.13125468346907285","43.445300228263115","0.3987915407854985","1.3044436173118894","819","166","-0.06502949330278758","-53.25915501498303","0.30158730158730157","1.178386770595674","0.56","0.31527093596059114","2.092364532019704","850","0.8472906403940886","344","0.6182266009852216","251","115","-0.06086956521739131","72.4","-1.265","","","","0.6227106227106227","-0.16733401805882453","0.35490196078431374","0.8705764679767105","0.3772893772893773","0.10382263493533164","28.58632169049748","0.21359223300970873","2.0225332065658623","0.49572649572649574","-0.12825426967134168","-52.07123348656473","0.29802955665024633","0.7796408069303183","0.4554334554334554","0.07663893214610584","28.58632169049748","0.3378016085790885","1.5613094817346271"
"2003","Ball State","Mid-American","264","54","-0.014251643367295461","-3.7624338489660016","0.3712121212121212","0.9332648955871463","0.5384615384615384","0.2903225806451613","2.121774193548387","263","0.8629032258064516","107","1.0564516129032258","131","48","0","73.5","1.13","","","","0.6590909090909091","-0.06704211033743908","0.4425287356321839","0.7221248049040351","0.3409090909090909","0.08780992610831553","0.23333333333333334","1.7074452280918875","0.4696969696969697","-0.16281490534416665","-20.189048262676664","0.3387096774193548","0.8050896248441216","0.48863636363636365","0.1917705322496463","24.73839866020437","0.43410852713178294","1.0293963486444149","282","56","0.1368042426086034","38.578796415626165","0.45390070921985815","0.9518377249016472","0.64","0.22424242424242424","3.1915151515151514","527","1.4242424242424243","235","0.9333333333333333","154","45","0","62.6","-1.885","","","","0.6879432624113475","0.011666297897074969","0.4948453608247423","0.7170733494811813","0.3120567375886525","0.41267652981356384","34.2410061176437","0.36363636363636365","1.6561308511630448","0.5851063829787234","0.07458840889897006","12.30708746833006","0.509090909090909","0.7317621590534551","0.375886524822695","0.32302835960041226","34.2410061176437","0.41509433962264153","1.3719819869754684"
