"Season","Team","Conference","Offense Plays","Offense Drives","Offense Ppa","Offense TotalPPA","Offense SuccessRate","Offense Explosiveness","Offense PowerSuccess","Offense StuffRate","Offense LineYards","Offense LineYardsTotal","Offense SecondLevelYards","Offense SecondLevelYardsTotal","Offense OpenFieldYards","Offense OpenFieldYardsTotal","Offense TotalOpportunies","Offense PointsPerOpportunity","Offense FieldPosition AverageStart","Offense FieldPosition AveragePredictedPoints","Offense Havoc Total","Offense Havoc FrontSeven","Offense Havoc Db","Offense StandardDowns Rate","Offense StandardDowns Ppa","Offense StandardDowns SuccessRate","Offense StandardDowns Explosiveness","Offense PassingDowns Rate","Offense PassingDowns Ppa","Offense PassingDowns SuccessRate","Offense PassingDowns Explosiveness","Offense RushingPlays Rate","Offense RushingPlays Ppa","Offense RushingPlays TotalPPA","Offense RushingPlays SuccessRate","Offense RushingPlays Explosiveness","Offense PassingPlays Rate","Offense PassingPlays Ppa","Offense PassingPlays TotalPPA","Offense PassingPlays SuccessRate","Offense PassingPlays Explosiveness","Defense Plays","Defense Drives","Defense Ppa","Defense TotalPPA","Defense SuccessRate","Defense Explosiveness","Defense PowerSuccess","Defense StuffRate","Defense LineYards","Defense LineYardsTotal","Defense SecondLevelYards","Defense SecondLevelYardsTotal","Defense OpenFieldYards","Defense OpenFieldYardsTotal","Defense TotalOpportunies","Defense PointsPerOpportunity","Defense FieldPosition AverageStart","Defense FieldPosition AveragePredictedPoints","Defense Havoc Total","Defense Havoc FrontSeven","Defense Havoc Db","Defense StandardDowns Rate","Defense StandardDowns Ppa","Defense StandardDowns SuccessRate","Defense StandardDowns Explosiveness","Defense PassingDowns Rate","Defense PassingDowns Ppa","Defense PassingDowns TotalPPA","Defense PassingDowns SuccessRate","Defense PassingDowns Explosiveness","Defense RushingPlays Rate","Defense RushingPlays Ppa","Defense RushingPlays TotalPPA","Defense RushingPlays SuccessRate","Defense RushingPlays Explosiveness","Defense PassingPlays Rate","Defense PassingPlays Ppa","Defense PassingPlays TotalPPA","Defense PassingPlays SuccessRate","Defense PassingPlays Explosiveness"
"2014","Air Force","Mountain West","1007","165","0.20705920524411855","208.50861968082737","0.45183714001986097","1.0899352301297762","0.7641509433962265","0.16149870801033592","3.0180878552971575","2336","0.896640826873385","694","0.9224806201550387","714","88","3.909090909090909","69.1","1.446","0.003972194637537239","0","0.003972194637537239","0.7318768619662364","0.17712624897470639","0.49796472184531887","0.9303099860391643","0.26812313803376364","0.288765089579514","0.32592592592592595","1.7556450549167597","0.7686196623634558","0.16811340852358175","130.1197781972523","0.43669250645994834","0.9778905445597829","0.21251241310824232","0.40293489347529055","86.22806720371217","0.45794392523364486","1.7676811364079452","902","161","0.13879543300536065","125.19348057083532","0.37583148558758317","1.4257668280885598","0.6415094339622641","0.21377672209026127","2.399524940617577","1010","0.8954869358669834","377","1.4180522565320666","597","76","3.223684210526316","72.3","-1.238","0.011086474501108648","0","0.011086474501108648","0.6330376940133038","0.028536787275442597","0.3922942206654991","1.164375688108122","0.3669623059866962","0.328999924581745","116.38743107159202","0.3474320241691843","1.9349113094417607","0.46674057649667405","0.03354987007145648","14.12449530008318","0.33729216152019004","1.2026726862300687","0.516629711751663","0.24975843577594853","116.38743107159202","0.3927038626609442","1.7273790694540054"
"2014","Akron","Mid-American","891","162","0.06593361060252836","58.74684704685278","0.4107744107744108","1.1196735553943566","0.7586206896551724","0.19402985074626866","3.0659701492537312","1027","1.1432835820895522","383","1.1343283582089552","380","84","2.7142857142857144","66.5","1.674","0.016835016835016835","0","0.016835016835016835","0.6576879910213244","0.02670220918223268","0.4726962457337884","0.915006812788784","0.34231200897867564","0.14130935234775222","0.29180327868852457","1.7566700464251837","0.3759820426487093","0.15636393692430747","52.381918869643","0.41194029850746267","1.098834197441792","0.6094276094276094","0.01918516163479045","10.417542767691213","0.39594843462246776","1.2196000772923195","859","161","0.12743289993258927","109.46486104209418","0.41443538998835855","1.1870027692796241","0.5535714285714286","0.23058823529411765","2.882823529411765","1225","1.1105882352941177","472","1.1694117647058824","497","80","3.025","69.3","-1.497","0.013969732246798603","0","0.013969732246798603","0.6775320139697323","0.01601449315939026","0.4381443298969072","0.9586865469265649","0.3224679860302678","0.3615322239109352","64.9174367649033","0.36462093862815886","1.7634447168046747","0.4947613504074505","0.12136693240423872","51.58094627180146","0.40941176470588236","1.1012604594269493","0.490104772991851","0.15419818709003158","64.9174367649033","0.40380047505938244","1.3894403359369658"
"2014","Alabama","SEC","1025","175","0.3242068441426016","332.3120152461666","0.5160975609756098","1.1949497374730125","0.7160493827160493","0.1446886446886447","3.3752747252747253","1843","1.3626373626373627","744","1.163003663003663","635","102","4.196078431372549","67.2","1.637","0.00975609756097561","0","0.00975609756097561","0.7414634146341463","0.25554823632579526","0.5539473684210526","1.0050281900067786","0.25853658536585367","0.52111454957948","0.4075471698113208","1.9352920660219433","0.5326829268292683","0.2514727987394595","137.3041481117449","0.5183150183150184","0.9427008246709188","0.45365853658536587","0.4321544642437178","200.95182587332877","0.4989247311827957","1.6003794675873306","959","175","0.04727040113156856","45.33231468517425","0.36392075078206465","1.1974705600407711","0.6363636363636364","0.25961538461538464","2.319951923076923","965","0.8485576923076923","353","0.9423076923076923","392","74","2.7027027027027026","70.6","-1.369","0.011470281543274244","0","0.011470281543274244","0.6266944734098019","-0.07352106017833152","0.39267886855241263","0.8622438593303343","0.3733055265901981","0.25005159735293714","92.82476813947052","0.31564245810055863","1.897590041170533","0.4337851929092805","-0.08225414230258611","-34.21772319787583","0.3389423076923077","0.8576272607145647","0.543274244004171","0.17816654153449235","92.82476813947052","0.35892514395393477","1.6495539868628255"
"2014","Appalachian State","Sun Belt","875","148","0.2764115898532301","241.86014112157633","0.456","1.285387986461374","0.7868852459016393","0.18375241779497098","3.1311411992263056","1619","1.2282398452611218","635","1.7059961315280463","882","90","4","67.5","1.628","0.012571428571428572","0","0.012571428571428572","0.6868571428571428","0.20732791643729567","0.5008319467554077","1.0423653230173089","0.31314285714285717","0.4279418370173782","0.35766423357664234","2.031814738468145","0.5908571428571429","0.25085942194885796","129.69432114755958","0.4622823984526112","1.09637147834827","0.39885714285714285","0.34401266303652145","120.06041939974598","0.4355300859598854","1.657633713861427","796","151","0.12673337046317576","100.8797628886879","0.39824120603015073","1.2333514234398475","0.6206896551724138","0.22194513715710723","2.7952618453865337","1121","1.0448877805486283","419","1.4912718204488777","598","71","3.6056338028169015","65.5","-1.719","0.01507537688442211","0","0.01507537688442211","0.6633165829145728","0.011975208494306023","0.4356060606060606","1.0248035340922543","0.33668341708542715","0.3528240776257251","51.72526516142046","0.3246268656716418","1.784684924013944","0.5037688442211056","0.1325980905158221","53.17183429684467","0.40399002493765584","1.0888436678093625","0.478643216080402","0.13576185081737652","51.72526516142046","0.3700787401574803","1.5503337845027811"
"2014","Arizona","Big 12","1153","199","0.18206843307488665","209.9249033353443","0.41457068516912404","1.2646430549336134","0.7125","0.1751412429378531","3.099623352165725","1646","1.112994350282486","591","1.502824858757062","798","99","3.686868686868687","69.6","1.437","0.008673026886383347","0","0.008673026886383347","0.6652211621856028","0.11648466046699861","0.45241199478487615","1.0911213513218587","0.3347788378143972","0.31238644755739997","0.3393782383419689","1.7242768805311623","0.4605377276669558","0.17253802838633744","91.61769307314518","0.4180790960451977","1.1278089276813692","0.5212489158716392","0.20362619445165528","122.37934286544483","0.39267886855241263","1.510767045805012","1125","203","0.164389435766872","184.938115237731","0.42577777777777776","1.2171729725361162","0.6166666666666667","0.1977818853974122","2.707393715341959","1465","0.9593345656192237","519","1.2292051756007394","665","91","3.3846153846153846","72.8","-1.194","0.011555555555555555","0","0.011555555555555555","0.688","0.11935110498481401","0.4689922480620155","1.0050223550128068","0.312","0.26370472928628197","159.12924700626377","0.33048433048433046","1.881058094613369","0.48088888888888887","0.04865665534522878","26.323250541768772","0.39371534195933455","0.9752171375084714","0.5031111111111111","0.2811470795163671","159.12924700626377","0.4381625441696113","1.5153991365556323"
"2014","Arizona State","Big 12","886","166","0.16791192656076104","148.76996693283428","0.4322799097065463","1.2714620267765604","0.543859649122807","0.21788990825688073","2.818348623853211","1229","1.1880733944954127","518","1.4036697247706422","612","89","3.752808988764045","68.3","1.496","0.010158013544018058","0","0.010158013544018058","0.6805869074492099","0.1531734150017955","0.472636815920398","1.1187591373626653","0.3194130925507901","0.1993158928860481","0.3462897526501767","1.7155469602761528","0.49209932279909707","0.10052806444718776","43.83023609897386","0.4243119266055046","1.0316816661164925","0.4853273137697517","0.2546735999333117","109.50964797132403","0.413953488372093","1.689206545850197","908","166","0.07838183055581885","71.17070214468352","0.38876651982378857","1.31758513689599","0.7","0.2242562929061785","2.5098398169336384","1097","0.9794050343249427","428","1.4782608695652173","646","67","3.1194029850746268","73.4","-1.189","0.015418502202643172","0","0.015418502202643172","0.6420704845814978","-0.014897627302387405","0.4305317324185249","1.0893114683696357","0.3579295154185022","0.24571082726761653","56.79591869516502","0.31384615384615383","1.8793173996422157","0.4812775330396476","0.030055558413443213","13.134279026674683","0.37757437070938216","1.091042478149906","0.5066079295154186","0.12346938846775005","56.79591869516502","0.3847826086956522","1.603644293823199"
"2014","Arkansas","SEC","914","152","0.2325793773036152","212.57755085550428","0.449671772428884","1.2362366393870843","0.7361111111111112","0.19366852886405958","3.11731843575419","1674","1.2327746741154562","662","1.521415270018622","817","88","3.6477272727272725","67.6","1.59","0.006564551422319475","0","0.006564551422319475","0.6706783369803063","0.12749298150747684","0.4910277324632953","0.9970980094263442","0.3293216630196937","0.44659253551967104","0.3654485049833887","1.8906068904614728","0.587527352297593","0.18302805358910995","98.28606477735204","0.4655493482309125","1.0227907477122928","0.4026258205689278","0.32035140395106143","117.88931665399062","0.41304347826086957","1.6841671212885314","818","157","0.09550858553001416","78.12602296355158","0.39853300733496333","1.2360342218647655","0.6666666666666666","0.2593516209476309","2.489775561097257","998","1.0374064837905237","416","0.8129675810473815","326","68","2.4411764705882355","72.4","-1.25","0.014669926650366748","0","0.014669926650366748","0.656479217603912","0.02559073117150847","0.4543761638733706","0.95858303888582","0.343520782396088","0.2291238445710019","74.50004864540506","0.2918149466192171","2.061620668777725","0.4902200488997555","-0.0048774302851440675","-1.955849544342771","0.4014962593516209","0.8754471355041715","0.5036674816625917","0.1808253607898181","74.50004864540506","0.3883495145631068","1.602614647807829"
"2014","Arkansas State","Sun Belt","1019","189","0.18639725228988938","189.9388000833973","0.43768400392541706","1.245189924186855","0.5925925925925926","0.22346368715083798","2.781005586592179","1493","1.2364990689013036","664","1.8286778398510242","982","93","3.7419354838709675","67.3","1.623","0.007850834151128557","0","0.007850834151128557","0.6663395485770363","0.13115411002443872","0.4948453608247423","1.0052697442829417","0.3336604514229637","0.2967210569905982","0.3235294117647059","1.9780370191660805","0.5269872423945045","0.15784536644219288","84.76296177945758","0.45623836126629425","1.0566698409190705","0.4622178606476938","0.22534032215602157","106.13529173548615","0.4033970276008493","1.5654213083879553","959","188","0.1487317762371578","142.63377341143433","0.41605839416058393","1.2263911036056403","0.7777777777777778","0.1949317738791423","2.9994152046783626","1539","1.1812865497076024","606","1.5321637426900585","786","90","2.9555555555555557","70.9","-1.385","0.016684045881126174","0","0.016684045881126174","0.6652763295099061","0.1332962922625475","0.48589341692789967","0.9862124120121263","0.3347236704900938","0.17941040170694406","49.814638342295616","0.2772585669781931","2.062968568706644","0.5349322210636079","0.18984095365551257","97.38840922527794","0.44834307992202727","1.034245577819214","0.45776850886339937","0.11347298027857772","49.814638342295616","0.3690205011389522","1.580387911088707"
"2014","Army","American Athletic","766","129","0.208257737030489","159.52542656535456","0.4490861618798956","1.1482884541635885","0.71","0.16901408450704225","3.0657276995305165","1959","1.1564945226917058","739","1.7965571205007824","1148","71","3.2535211267605635","69.8","1.436","0.0026109660574412533","0","0.0026109660574412533","0.737597911227154","0.1648422063899166","0.5061946902654867","0.9696521268727591","0.26240208877284593","0.33029641768682444","0.2885572139303483","2.0291503439080225","0.8342036553524804","0.25021381565734346","159.88662820504246","0.47104851330203446","1.0953347999681455","0.1566579634464752","-0.02795876244594029","-3.3550514935128346","0.3","1.7311556552232676","810","133","0.26078242407965807","211.233763504523","0.49382716049382713","1.2066209857452275","0.6774193548387096","0.21462264150943397","3.043396226415094","1290","1.214622641509434","515","1.6533018867924527","701","80","4.0625","69.5","-1.474","0.013580246913580247","0","0.013580246913580247","0.7160493827160493","0.21262829482759832","0.5258620689655172","1.055227869804765","0.2839506172839506","0.3822145761065913","150.9193034021576","0.41304347826086957","1.6926725685014485","0.5234567901234568","0.18953893929809512","80.36451026239233","0.46226415094339623","1.059977417431231","0.45555555555555555","0.4089954021738688","150.9193034021576","0.5121951219512195","1.489530633087403"
"2014","Auburn","SEC","949","154","0.28368956630596326","269.22139842435917","0.49736564805057953","1.1725019024252077","0.7692307692307693","0.1686541737649063","3.3212947189097104","1950","1.3696763202725724","804","1.4616695059625213","858","87","4.264367816091954","70.3","1.408","0.007376185458377239","0","0.007376185458377239","0.7038988408851422","0.1753593989969591","0.5299401197604791","0.8903445587388271","0.29610115911485774","0.5412146615458735","0.4199288256227758","2.018973933484349","0.6185458377239199","0.17938267607729932","105.2976308573747","0.5008517887563884","0.8666344928771318","0.36143308746048475","0.5315981458322444","182.33816402045986","0.46647230320699706","1.9198723502908026","912","165","0.14534673572876497","132.55622298463365","0.4144736842105263","1.2561174601747525","0.7424242424242424","0.2281449893390192","2.6989339019189766","1266","1.2196162046908317","572","1.4498933901918978","680","94","2.978723404255319","69.6","-1.409","0.02412280701754386","0","0.02412280701754386","0.6754385964912281","0.12361551975354515","0.46915584415584416","1.0909583571058399","0.32456140350877194","0.19057115816368186","90.19653254851289","0.30067567567567566","1.792420615083918","0.5142543859649122","0.10891705396597344","51.08209831004154","0.4072494669509595","1.068007655094932","0.47368421052631576","0.2087882697882243","90.19653254851289","0.4074074074074074","1.5883258278229841"
